mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
5.884977245330811,1.941042091053485,0.06081767082214355,0.018020536690002847,20,1,2,200,"{'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",1.0,1.0,0.9921875,0.9921875,1.0,0.996875,0.0038273277230987156,1
9.33258056640625,2.606078001315934,0.04641170501708984,0.008394287424431213,20,1,2,300,"{'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300}",1.0,1.0,0.9921875,0.9921875,1.0,0.996875,0.0038273277230987156,1
2.215880298614502,0.010084542814051285,0.02203068733215332,0.00552457440242445,20,1,5,100,"{'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",1.0,1.0,0.9921875,0.9921875,1.0,0.996875,0.0038273277230987156,1
6.0601075172424315,2.39931978422775,0.0704648494720459,0.03569437627093293,20,1,5,200,"{'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",1.0,1.0,0.9921875,0.9921875,1.0,0.996875,0.0038273277230987156,1
10.599904775619507,2.6321964369969626,0.04997906684875488,0.006779356114902083,20,1,5,300,"{'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 300}",1.0,1.0,0.9921875,0.9921875,1.0,0.996875,0.0038273277230987156,1
2.6316578865051268,0.03401726693125452,0.029372644424438477,0.0023751615896108803,20,1,10,100,"{'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 100}",1.0,1.0,0.9921875,0.9921875,1.0,0.996875,0.0038273277230987156,1
4.248988676071167,0.13131824292893313,0.037941694259643555,0.010412565411039316,20,1,10,200,"{'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 200}",1.0,1.0,0.9921875,0.9921875,1.0,0.996875,0.0038273277230987156,1
7.133076477050781,0.19601765497473,0.05461287498474121,0.005282038524896632,20,1,10,300,"{'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 300}",1.0,1.0,0.9921875,0.9921875,1.0,0.996875,0.0038273277230987156,1
2.569811391830444,0.16686988917739518,0.02895355224609375,0.004888826311578952,20,2,2,100,"{'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",1.0,1.0,0.9921875,0.9921875,1.0,0.996875,0.0038273277230987156,1
4.5365814685821535,0.027118833507226603,0.03754892349243164,0.004236008496200948,20,2,2,200,"{'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}",1.0,1.0,0.9921875,0.9921875,1.0,0.996875,0.0038273277230987156,1
6.573962831497193,0.04101038117389622,0.044939088821411136,0.0038172634952221406,20,2,2,300,"{'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 300}",1.0,1.0,0.9921875,0.9921875,1.0,0.996875,0.0038273277230987156,1
2.3495497703552246,0.01610264528497939,0.024567842483520508,0.005984293609012886,20,2,5,100,"{'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",1.0,1.0,0.9921875,0.9921875,1.0,0.996875,0.0038273277230987156,1
4.715485429763794,0.5279348118701166,0.042767810821533206,0.017819644815220772,20,2,5,200,"{'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}",1.0,1.0,0.9921875,0.9921875,1.0,0.996875,0.0038273277230987156,1
11.257375812530517,2.277503273895897,0.10594978332519531,0.017113951410741537,20,2,5,300,"{'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 300}",1.0,1.0,0.9921875,0.9921875,1.0,0.996875,0.0038273277230987156,1
5.177794885635376,0.1831565495022677,0.0630009651184082,0.02131225301264192,20,2,10,100,"{'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 100}",1.0,1.0,0.9921875,0.9921875,1.0,0.996875,0.0038273277230987156,1
9.811019706726075,0.3397486345348135,0.07192974090576172,0.023505887208791012,20,2,10,200,"{'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 200}",1.0,1.0,0.9921875,0.9921875,1.0,0.996875,0.0038273277230987156,1
7.999176931381226,1.8277665136790704,0.04731254577636719,0.0174849415243101,20,2,10,300,"{'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 300}",1.0,1.0,0.9921875,0.9921875,1.0,0.996875,0.0038273277230987156,1
2.1832533359527586,0.07696588215959371,0.02695126533508301,0.005721854090257371,20,4,2,100,"{'max_depth': 20, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 100}",1.0,1.0,0.9921875,0.9921875,1.0,0.996875,0.0038273277230987156,1
8.970658159255981,1.6588860722887935,0.08129816055297852,0.022250065606337188,20,4,2,200,"{'max_depth': 20, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 200}",1.0,1.0,0.9921875,0.9921875,1.0,0.996875,0.0038273277230987156,1
9.05547375679016,1.6853097141589406,0.08008298873901368,0.016003732197169523,20,4,2,300,"{'max_depth': 20, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 300}",1.0,1.0,0.9921875,0.9921875,1.0,0.996875,0.0038273277230987156,1
4.24504017829895,0.9515753871117111,0.045528316497802736,0.00848497448014862,20,4,5,100,"{'max_depth': 20, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 100}",1.0,1.0,0.9921875,0.9921875,1.0,0.996875,0.0038273277230987156,1
9.600099325180054,0.13303375185081195,0.074638032913208,0.005965378083718321,20,4,5,200,"{'max_depth': 20, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 200}",1.0,1.0,0.9921875,0.9921875,1.0,0.996875,0.0038273277230987156,1
13.671972751617432,0.23845990720547822,0.12014765739440918,0.018870647318318688,20,4,5,300,"{'max_depth': 20, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 300}",1.0,1.0,0.9921875,0.9921875,1.0,0.996875,0.0038273277230987156,1
4.880188417434693,0.0911996052062976,0.06805109977722168,0.019184950537578592,20,4,10,100,"{'max_depth': 20, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 100}",1.0,1.0,0.9921875,0.9921875,1.0,0.996875,0.0038273277230987156,1
